"STATISTIC Label","Graduation Year","Field of Study","NFQ Level","Nationality","UNIT","VALUE"
"Number of Graduates","2010","Social Sciences, Journalism and Information","NFQ Level 7","East Asia","Number","0"
"Number of Graduates","2010","Social Sciences, Journalism and Information","NFQ Level 7","Mid-East","Number","0"
"Number of Graduates","2010","Social Sciences, Journalism and Information","NFQ Level 7","Australia and South Pacific","Number","0"
"Number of Graduates","2010","Social Sciences, Journalism and Information","NFQ Level 7","Central and South America","Number","0"
"Number of Graduates","2010","Social Sciences, Journalism and Information","NFQ Level 7","Europe excluding UK and Ireland","Number","0"
"Number of Graduates","2010","Social Sciences, Journalism and Information","NFQ Level 7","North America","Number","0"
"Number of Graduates","2010","Social Sciences, Journalism and Information","NFQ Level 8","All nationalities","Number","1430"
"Number of Graduates","2010","Social Sciences, Journalism and Information","NFQ Level 8","UK","Number","30"
"Number of Graduates","2010","Social Sciences, Journalism and Information","NFQ Level 8","Ireland","Number","1340"
"Number of Graduates","2010","Social Sciences, Journalism and Information","NFQ Level 8","Unknown","Number","0"
"Number of Graduates","2010","Social Sciences, Journalism and Information","NFQ Level 8","Africa","Number","0"
"Number of Graduates","2010","Social Sciences, Journalism and Information","NFQ Level 8","Central Asia","Number","0"
"Number of Graduates","2010","Social Sciences, Journalism and Information","NFQ Level 8","South Asia","Number","0"
"Number of Graduates","2010","Social Sciences, Journalism and Information","NFQ Level 8","South-East Asia","Number","0"
"Number of Graduates","2010","Social Sciences, Journalism and Information","NFQ Level 8","East Asia","Number","0"
"Number of Graduates","2010","Social Sciences, Journalism and Information","NFQ Level 8","Mid-East","Number","0"
"Number of Graduates","2010","Social Sciences, Journalism and Information","NFQ Level 8","Australia and South Pacific","Number","0"
"Number of Graduates","2010","Social Sciences, Journalism and Information","NFQ Level 8","Central and South America","Number","0"
"Number of Graduates","2010","Social Sciences, Journalism and Information","NFQ Level 8","Europe excluding UK and Ireland","Number","40"
"Number of Graduates","2010","Social Sciences, Journalism and Information","NFQ Level 8","North America","Number","20"
"Number of Graduates","2010","Social Sciences, Journalism and Information","NFQ Level 9","All nationalities","Number","780"
"Number of Graduates","2010","Social Sciences, Journalism and Information","NFQ Level 9","UK","Number","20"
"Number of Graduates","2010","Social Sciences, Journalism and Information","NFQ Level 9","Ireland","Number","650"
"Number of Graduates","2010","Social Sciences, Journalism and Information","NFQ Level 9","Unknown","Number","0"
"Number of Graduates","2010","Social Sciences, Journalism and Information","NFQ Level 9","Africa","Number","0"
"Number of Graduates","2010","Social Sciences, Journalism and Information","NFQ Level 9","Central Asia","Number","0"
"Number of Graduates","2010","Social Sciences, Journalism and Information","NFQ Level 9","South Asia","Number","0"
"Number of Graduates","2010","Social Sciences, Journalism and Information","NFQ Level 9","South-East Asia","Number","0"
"Number of Graduates","2010","Social Sciences, Journalism and Information","NFQ Level 9","East Asia","Number","0"
"Number of Graduates","2010","Social Sciences, Journalism and Information","NFQ Level 9","Mid-East","Number","0"
"Number of Graduates","2010","Social Sciences, Journalism and Information","NFQ Level 9","Australia and South Pacific","Number","0"
"Number of Graduates","2010","Social Sciences, Journalism and Information","NFQ Level 9","Central and South America","Number","0"
"Number of Graduates","2010","Social Sciences, Journalism and Information","NFQ Level 9","Europe excluding UK and Ireland","Number","50"
"Number of Graduates","2010","Social Sciences, Journalism and Information","NFQ Level 9","North America","Number","40"
"Number of Graduates","2010","Social Sciences, Journalism and Information","NFQ Level 10","All nationalities","Number","20"
"Number of Graduates","2010","Social Sciences, Journalism and Information","NFQ Level 10","UK","Number","0"
"Number of Graduates","2010","Social Sciences, Journalism and Information","NFQ Level 10","Ireland","Number","20"
"Number of Graduates","2010","Social Sciences, Journalism and Information","NFQ Level 10","Unknown","Number","0"
"Number of Graduates","2010","Social Sciences, Journalism and Information","NFQ Level 10","Africa","Number","0"
"Number of Graduates","2010","Social Sciences, Journalism and Information","NFQ Level 10","Central Asia","Number","0"
"Number of Graduates","2010","Social Sciences, Journalism and Information","NFQ Level 10","South Asia","Number","0"
"Number of Graduates","2010","Social Sciences, Journalism and Information","NFQ Level 10","South-East Asia","Number","0"
"Number of Graduates","2010","Social Sciences, Journalism and Information","NFQ Level 10","East Asia","Number","0"
"Number of Graduates","2010","Social Sciences, Journalism and Information","NFQ Level 10","Mid-East","Number","0"
