"STATISTIC Label","Graduation Year","Field of Study","NFQ Level","Nationality","UNIT","VALUE"
"Number of Graduates","2011","Health and Welfare","NFQ Level 9","Ireland","Number","490"
"Number of Graduates","2011","Health and Welfare","NFQ Level 9","Unknown","Number","0"
"Number of Graduates","2011","Health and Welfare","NFQ Level 9","Africa","Number","0"
"Number of Graduates","2011","Health and Welfare","NFQ Level 9","Central Asia","Number","0"
"Number of Graduates","2011","Health and Welfare","NFQ Level 9","South Asia","Number","10"
"Number of Graduates","2011","Health and Welfare","NFQ Level 9","South-East Asia","Number","0"
"Number of Graduates","2011","Health and Welfare","NFQ Level 9","East Asia","Number","0"
"Number of Graduates","2011","Health and Welfare","NFQ Level 9","Mid-East","Number","10"
"Number of Graduates","2011","Health and Welfare","NFQ Level 9","Australia and South Pacific","Number","0"
"Number of Graduates","2011","Health and Welfare","NFQ Level 9","Central and South America","Number","0"
"Number of Graduates","2011","Health and Welfare","NFQ Level 9","Europe excluding UK and Ireland","Number","10"
"Number of Graduates","2011","Health and Welfare","NFQ Level 9","North America","Number","10"
"Number of Graduates","2011","Health and Welfare","NFQ Level 10","All nationalities","Number","50"
"Number of Graduates","2011","Health and Welfare","NFQ Level 10","UK","Number","0"
"Number of Graduates","2011","Health and Welfare","NFQ Level 10","Ireland","Number","30"
"Number of Graduates","2011","Health and Welfare","NFQ Level 10","Unknown","Number","0"
"Number of Graduates","2011","Health and Welfare","NFQ Level 10","Africa","Number","0"
"Number of Graduates","2011","Health and Welfare","NFQ Level 10","Central Asia","Number","0"
"Number of Graduates","2011","Health and Welfare","NFQ Level 10","South Asia","Number","0"
"Number of Graduates","2011","Health and Welfare","NFQ Level 10","South-East Asia","Number","0"
"Number of Graduates","2011","Health and Welfare","NFQ Level 10","East Asia","Number","0"
"Number of Graduates","2011","Health and Welfare","NFQ Level 10","Mid-East","Number","0"
"Number of Graduates","2011","Health and Welfare","NFQ Level 10","Australia and South Pacific","Number","0"
"Number of Graduates","2011","Health and Welfare","NFQ Level 10","Central and South America","Number","0"
"Number of Graduates","2011","Health and Welfare","NFQ Level 10","Europe excluding UK and Ireland","Number","0"
"Number of Graduates","2011","Health and Welfare","NFQ Level 10","North America","Number","0"
"Number of Graduates","2011","Services","All NFQ Levels","All nationalities","Number","1520"
"Number of Graduates","2011","Services","All NFQ Levels","UK","Number","20"
"Number of Graduates","2011","Services","All NFQ Levels","Ireland","Number","1410"
"Number of Graduates","2011","Services","All NFQ Levels","Unknown","Number","10"
"Number of Graduates","2011","Services","All NFQ Levels","Africa","Number","10"
"Number of Graduates","2011","Services","All NFQ Levels","Central Asia","Number","0"
"Number of Graduates","2011","Services","All NFQ Levels","South Asia","Number","0"
"Number of Graduates","2011","Services","All NFQ Levels","South-East Asia","Number","0"
"Number of Graduates","2011","Services","All NFQ Levels","East Asia","Number","20"
"Number of Graduates","2011","Services","All NFQ Levels","Mid-East","Number","0"
"Number of Graduates","2011","Services","All NFQ Levels","Australia and South Pacific","Number","0"
"Number of Graduates","2011","Services","All NFQ Levels","Central and South America","Number","0"
"Number of Graduates","2011","Services","All NFQ Levels","Europe excluding UK and Ireland","Number","50"
"Number of Graduates","2011","Services","All NFQ Levels","North America","Number","10"
"Number of Graduates","2011","Services","NFQ Level 6","All nationalities","Number","300"
"Number of Graduates","2011","Services","NFQ Level 6","UK","Number","0"
"Number of Graduates","2011","Services","NFQ Level 6","Ireland","Number","280"
"Number of Graduates","2011","Services","NFQ Level 6","Unknown","Number","0"
"Number of Graduates","2011","Services","NFQ Level 6","Africa","Number","0"
"Number of Graduates","2011","Services","NFQ Level 6","Central Asia","Number","0"
"Number of Graduates","2011","Services","NFQ Level 6","South Asia","Number","0"
"Number of Graduates","2011","Services","NFQ Level 6","South-East Asia","Number","0"
"Number of Graduates","2011","Services","NFQ Level 6","East Asia","Number","0"
"Number of Graduates","2011","Services","NFQ Level 6","Mid-East","Number","0"
"Number of Graduates","2011","Services","NFQ Level 6","Australia and South Pacific","Number","0"
"Number of Graduates","2011","Services","NFQ Level 6","Central and South America","Number","0"
"Number of Graduates","2011","Services","NFQ Level 6","Europe excluding UK and Ireland","Number","0"
"Number of Graduates","2011","Services","NFQ Level 6","North America","Number","0"
"Number of Graduates","2011","Services","NFQ Level 7","All nationalities","Number","590"
"Number of Graduates","2011","Services","NFQ Level 7","UK","Number","10"
"Number of Graduates","2011","Services","NFQ Level 7","Ireland","Number","540"
"Number of Graduates","2011","Services","NFQ Level 7","Unknown","Number","0"
"Number of Graduates","2011","Services","NFQ Level 7","Africa","Number","0"
"Number of Graduates","2011","Services","NFQ Level 7","Central Asia","Number","0"
"Number of Graduates","2011","Services","NFQ Level 7","South Asia","Number","0"
"Number of Graduates","2011","Services","NFQ Level 7","South-East Asia","Number","0"
"Number of Graduates","2011","Services","NFQ Level 7","East Asia","Number","10"
"Number of Graduates","2011","Services","NFQ Level 7","Mid-East","Number","0"
"Number of Graduates","2011","Services","NFQ Level 7","Australia and South Pacific","Number","0"
"Number of Graduates","2011","Services","NFQ Level 7","Central and South America","Number","0"
"Number of Graduates","2011","Services","NFQ Level 7","Europe excluding UK and Ireland","Number","20"
"Number of Graduates","2011","Services","NFQ Level 7","North America","Number","0"
"Number of Graduates","2011","Services","NFQ Level 8","All nationalities","Number","570"
"Number of Graduates","2011","Services","NFQ Level 8","UK","Number","10"
"Number of Graduates","2011","Services","NFQ Level 8","Ireland","Number","530"
"Number of Graduates","2011","Services","NFQ Level 8","Unknown","Number","0"
"Number of Graduates","2011","Services","NFQ Level 8","Africa","Number","0"
"Number of Graduates","2011","Services","NFQ Level 8","Central Asia","Number","0"
"Number of Graduates","2011","Services","NFQ Level 8","South Asia","Number","0"
"Number of Graduates","2011","Services","NFQ Level 8","South-East Asia","Number","0"
"Number of Graduates","2011","Services","NFQ Level 8","East Asia","Number","0"
"Number of Graduates","2011","Services","NFQ Level 8","Mid-East","Number","0"
"Number of Graduates","2011","Services","NFQ Level 8","Australia and South Pacific","Number","0"
"Number of Graduates","2011","Services","NFQ Level 8","Central and South America","Number","0"
"Number of Graduates","2011","Services","NFQ Level 8","Europe excluding UK and Ireland","Number","20"
"Number of Graduates","2011","Services","NFQ Level 8","North America","Number","10"
"Number of Graduates","2011","Services","NFQ Level 9","All nationalities","Number","60"
"Number of Graduates","2011","Services","NFQ Level 9","UK","Number","0"
"Number of Graduates","2011","Services","NFQ Level 9","Ireland","Number","50"
"Number of Graduates","2011","Services","NFQ Level 9","Unknown","Number","0"
"Number of Graduates","2011","Services","NFQ Level 9","Africa","Number","0"
"Number of Graduates","2011","Services","NFQ Level 9","Central Asia","Number","0"
"Number of Graduates","2011","Services","NFQ Level 9","South Asia","Number","0"
"Number of Graduates","2011","Services","NFQ Level 9","South-East Asia","Number","0"
"Number of Graduates","2011","Services","NFQ Level 9","East Asia","Number","0"
"Number of Graduates","2011","Services","NFQ Level 9","Mid-East","Number","0"
"Number of Graduates","2011","Services","NFQ Level 9","Australia and South Pacific","Number","0"
"Number of Graduates","2011","Services","NFQ Level 9","Central and South America","Number","0"
"Number of Graduates","2011","Services","NFQ Level 9","Europe excluding UK and Ireland","Number","10"
"Number of Graduates","2011","Services","NFQ Level 9","North America","Number","0"
"Number of Graduates","2011","Services","NFQ Level 10","All nationalities","Number","0"
"Number of Graduates","2011","Services","NFQ Level 10","UK","Number","0"
"Number of Graduates","2011","Services","NFQ Level 10","Ireland","Number","0"
"Number of Graduates","2011","Services","NFQ Level 10","Unknown","Number","0"
"Number of Graduates","2011","Services","NFQ Level 10","Africa","Number","0"
"Number of Graduates","2011","Services","NFQ Level 10","Central Asia","Number","0"
"Number of Graduates","2011","Services","NFQ Level 10","South Asia","Number","0"
"Number of Graduates","2011","Services","NFQ Level 10","South-East Asia","Number","0"
"Number of Graduates","2011","Services","NFQ Level 10","East Asia","Number","0"
"Number of Graduates","2011","Services","NFQ Level 10","Mid-East","Number","0"
"Number of Graduates","2011","Services","NFQ Level 10","Australia and South Pacific","Number","0"
"Number of Graduates","2011","Services","NFQ Level 10","Central and South America","Number","0"
"Number of Graduates","2011","Services","NFQ Level 10","Europe excluding UK and Ireland","Number","0"
"Number of Graduates","2011","Services","NFQ Level 10","North America","Number","0"
"Number of Graduates","2012","All fields of education","All NFQ Levels","All nationalities","Number","35110"
"Number of Graduates","2012","All fields of education","All NFQ Levels","UK","Number","610"
"Number of Graduates","2012","All fields of education","All NFQ Levels","Ireland","Number","31420"
"Number of Graduates","2012","All fields of education","All NFQ Levels","Unknown","Number","50"
"Number of Graduates","2012","All fields of education","All NFQ Levels","Africa","Number","270"
"Number of Graduates","2012","All fields of education","All NFQ Levels","Central Asia","Number","20"
"Number of Graduates","2012","All fields of education","All NFQ Levels","South Asia","Number","150"
"Number of Graduates","2012","All fields of education","All NFQ Levels","South-East Asia","Number","190"
"Number of Graduates","2012","All fields of education","All NFQ Levels","East Asia","Number","650"
"Number of Graduates","2012","All fields of education","All NFQ Levels","Mid-East","Number","100"
"Number of Graduates","2012","All fields of education","All NFQ Levels","Australia and South Pacific","Number","20"
"Number of Graduates","2012","All fields of education","All NFQ Levels","Central and South America","Number","30"
"Number of Graduates","2012","All fields of education","All NFQ Levels","Europe excluding UK and Ireland","Number","1240"
"Number of Graduates","2012","All fields of education","All NFQ Levels","North America","Number","370"
"Number of Graduates","2012","All fields of education","NFQ Level 6","All nationalities","Number","1180"
"Number of Graduates","2012","All fields of education","NFQ Level 6","UK","Number","20"
"Number of Graduates","2012","All fields of education","NFQ Level 6","Ireland","Number","1070"
"Number of Graduates","2012","All fields of education","NFQ Level 6","Unknown","Number","0"
"Number of Graduates","2012","All fields of education","NFQ Level 6","Africa","Number","20"
"Number of Graduates","2012","All fields of education","NFQ Level 6","Central Asia","Number","0"
"Number of Graduates","2012","All fields of education","NFQ Level 6","South Asia","Number","10"
"Number of Graduates","2012","All fields of education","NFQ Level 6","South-East Asia","Number","0"
"Number of Graduates","2012","All fields of education","NFQ Level 6","East Asia","Number","0"
