"Statistic Label","CensusYear","Detailed Marital Status","County and City","Sex","Age Group","UNIT","VALUE"
"Population","2011","All marital status","Fingal","Both sexes","55 - 59 years","Number","12418"
"Population","2011","All marital status","Fingal","Both sexes","60 - 64 years","Number","10525"
"Population","2011","All marital status","Fingal","Both sexes","65 - 69 years","Number","7861"
"Population","2011","All marital status","Fingal","Both sexes","70 - 74 years","Number","4956"
"Population","2011","All marital status","Fingal","Both sexes","75 - 79 years","Number","3355"
"Population","2011","All marital status","Fingal","Both sexes","80 - 84 years","Number","2015"
"Population","2011","All marital status","Fingal","Both sexes","85 years and over","Number","1674"
"Population","2011","All marital status","Fingal","Male","All ages","Number","134488"
"Population","2011","All marital status","Fingal","Male","Under 25 years","Number","50300"
"Population","2011","All marital status","Fingal","Male","25 - 29 years","Number","11128"
"Population","2011","All marital status","Fingal","Male","30 - 34 years","Number","14025"
"Population","2011","All marital status","Fingal","Male","35 - 39 years","Number","13041"
"Population","2011","All marital status","Fingal","Male","40 - 44 years","Number","10440"
"Population","2011","All marital status","Fingal","Male","45 - 49 years","Number","8349"
"Population","2011","All marital status","Fingal","Male","50 - 54 years","Number","7133"
"Population","2011","All marital status","Fingal","Male","55 - 59 years","Number","5948"
"Population","2011","All marital status","Fingal","Male","60 - 64 years","Number","5056"
"Population","2011","All marital status","Fingal","Male","65 - 69 years","Number","3825"
"Population","2011","All marital status","Fingal","Male","70 - 74 years","Number","2457"
"Population","2011","All marital status","Fingal","Male","75 - 79 years","Number","1507"
"Population","2011","All marital status","Fingal","Male","80 - 84 years","Number","778"
"Population","2011","All marital status","Fingal","Male","85 years and over","Number","501"
"Population","2011","All marital status","Fingal","Female","All ages","Number","139503"
"Population","2011","All marital status","Fingal","Female","Under 25 years","Number","48726"
"Population","2011","All marital status","Fingal","Female","25 - 29 years","Number","12879"
"Population","2011","All marital status","Fingal","Female","30 - 34 years","Number","14951"
"Population","2011","All marital status","Fingal","Female","35 - 39 years","Number","13407"
"Population","2011","All marital status","Fingal","Female","40 - 44 years","Number","10441"
"Population","2011","All marital status","Fingal","Female","45 - 49 years","Number","8836"
"Population","2011","All marital status","Fingal","Female","50 - 54 years","Number","7531"
"Population","2011","All marital status","Fingal","Female","55 - 59 years","Number","6470"
"Population","2011","All marital status","Fingal","Female","60 - 64 years","Number","5469"
"Population","2011","All marital status","Fingal","Female","65 - 69 years","Number","4036"
"Population","2011","All marital status","Fingal","Female","70 - 74 years","Number","2499"
"Population","2011","All marital status","Fingal","Female","75 - 79 years","Number","1848"
"Population","2011","All marital status","Fingal","Female","80 - 84 years","Number","1237"
"Population","2011","All marital status","Fingal","Female","85 years and over","Number","1173"
"Population","2011","All marital status","South Dublin","Both sexes","All ages","Number","265205"
"Population","2011","All marital status","South Dublin","Both sexes","Under 25 years","Number","96060"
"Population","2011","All marital status","South Dublin","Both sexes","25 - 29 years","Number","23054"
"Population","2011","All marital status","South Dublin","Both sexes","30 - 34 years","Number","25066"
"Population","2011","All marital status","South Dublin","Both sexes","35 - 39 years","Number","21342"
"Population","2011","All marital status","South Dublin","Both sexes","40 - 44 years","Number","18129"
"Population","2011","All marital status","South Dublin","Both sexes","45 - 49 years","Number","16350"
"Population","2011","All marital status","South Dublin","Both sexes","50 - 54 years","Number","15317"
"Population","2011","All marital status","South Dublin","Both sexes","55 - 59 years","Number","14322"
"Population","2011","All marital status","South Dublin","Both sexes","60 - 64 years","Number","12512"
