"Statistic Label","Sex","Socio Economic Group","Nationality","CensusYear","UNIT","VALUE"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Colombian","2011","Number","182"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Colombian","2016","Number","236"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Mexican","2011","Number","636"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Mexican","2016","Number","1083"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Venezuelan","2011","Number","307"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Venezuelan","2016","Number","1188"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Afghan","2011","Number","451"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Afghan","2016","Number","1272"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Australian","2011","Number","2849"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Australian","2016","Number","2427"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","New Zealander","2011","Number","1394"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","New Zealander","2016","Number","1097"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Multi nationality","2011","Number","840"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Multi nationality","2016","Number","5412"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","No nationality","2011","Number","1487"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","No nationality","2016","Number","1167"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Not stated","2011","Number","52294"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Not stated","2016","Number","70766"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Irish-Belarusian","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Irish-Belarusian","2016","Number","509"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Irish-Bosnian","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Irish-Bosnian","2016","Number","350"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Irish-Bulgarian","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Irish-Bulgarian","2016","Number","417"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Irish-Croatian","2011","Number","0"
